[21:53:10] roofing contractor | Lighthouse Point FL | scraped 70, +2 leads | maps total: 1228
[21:53:45] roofing contractor | Margate FL | scraped 76, +7 leads | maps total: 1235
[21:54:17] roofing contractor | Medley FL | scraped 73, +6 leads | maps total: 1241
[21:54:39] roofing contractor | Miami FL | scraped 66, +0 leads | maps total: 1241
[21:55:06] roofing contractor | Miami Beach FL | scraped 71, +2 leads | maps total: 1243
[21:55:28] roofing contractor | Miami Gardens FL | scraped 72, +0 leads | maps total: 1243
[21:55:52] roofing contractor | Miami Lakes FL | scraped 75, +1 leads | maps total: 1244
[21:56:18] roofing contractor | Miami Shores FL | scraped 74, +1 leads | maps total: 1245
[21:56:40] roofing contractor | Miami Springs FL | scraped 76, +0 leads | maps total: 1245
[21:57:03] roofing contractor | Miramar FL | scraped 71, +1 leads | maps total: 1246
[21:57:26] roofing contractor | North Bay Village FL | scraped 74, +3 leads | maps total: 1249
[21:57:49] roofing contractor | North Lauderdale FL | scraped 36, +1 leads | maps total: 1250
[21:58:14] roofing contractor | North Miami FL | scraped 46, +0 leads | maps total: 1250
[22:02:32] roofing contractor | North Miami Beach FL | scraped 70, +8 leads | maps total: 1258
[22:03:58] roofing contractor | Oakland Park FL | scraped 77, +12 leads | maps total: 1270
[22:04:24] roofing contractor | Opa-locka FL | scraped 69, +3 leads | maps total: 1273
[22:04:54] roofing contractor | Palm Beach FL | scraped 67, +13 leads | maps total: 1286
[22:05:17] roofing contractor | Palm Beach Gardens FL | scraped 71, +5 leads | maps total: 1291
[22:05:52] roofing contractor | Palm Springs FL | scraped 75, +4 leads | maps total: 1295
[22:06:17] roofing contractor | Palmetto Bay FL | scraped 62, +7 leads | maps total: 1302
[22:06:41] roofing contractor | Parkland FL | scraped 77, +7 leads | maps total: 1309
[22:07:04] roofing contractor | Pembroke Park FL | scraped 76, +6 leads | maps total: 1315
[22:07:26] roofing contractor | Pembroke Pines FL | scraped 69, +0 leads | maps total: 1315
[22:07:55] roofing contractor | Pinecrest FL | scraped 63, +5 leads | maps total: 1320
[22:08:25] roofing contractor | Plantation FL | scraped 76, +3 leads | maps total: 1323
[22:08:53] roofing contractor | Pompano Beach FL | scraped 71, +1 leads | maps total: 1324
[22:09:22] roofing contractor | Riviera Beach FL | scraped 73, +3 leads | maps total: 1327
[22:09:46] roofing contractor | Royal Palm Beach FL | scraped 63, +6 leads | maps total: 1333
[22:09:54] roofing contractor | Sea Ranch Lakes FL | scraped 6, +0 leads | maps total: 1333
[22:10:21] roofing contractor | South Miami FL | scraped 63, +1 leads | maps total: 1334
[22:10:46] roofing contractor | Southwest Ranches FL | scraped 78, +0 leads | maps total: 1334
[22:11:13] roofing contractor | Sunny Isles Beach FL | scraped 61, +4 leads | maps total: 1338
[22:11:35] roofing contractor | Sunrise FL | scraped 73, +1 leads | maps total: 1339
[22:11:43] roofing contractor | Surfside FL | scraped 9, +0 leads | maps total: 1339
[22:12:22] roofing contractor | Sweetwater FL | scraped 73, +25 leads | maps total: 1364
[22:12:49] roofing contractor | Tamarac FL | scraped 71, +8 leads | maps total: 1372
[22:13:31] roofing contractor | Tamiami FL | scraped 68, +3 leads | maps total: 1375
[22:15:08] roofing contractor | The Hammocks FL | scraped 60, +9 leads | maps total: 1384
[22:15:16] roofing contractor | Virginia Gardens FL | scraped 7, +0 leads | maps total: 1384
[22:17:03] roofing contractor | Wellington FL | scraped 76, +8 leads | maps total: 1392
[22:17:27] roofing contractor | West Miami FL | scraped 66, +0 leads | maps total: 1392
[22:17:56] roofing contractor | West Park FL | scraped 81, +0 leads | maps total: 1392
[22:18:18] roofing contractor | Westchester FL | scraped 71, +0 leads | maps total: 1392
[22:19:12] roofing contractor | Weston FL | scraped 81, +6 leads | maps total: 1398
[22:21:10] roofing contractor | Wilton Manors FL | scraped 75, +5 leads | maps total: 1403
[22:21:51] plumber | Aventura FL | scraped 70, +8 leads | maps total: 1411
[22:23:14] plumber | Bal Harbour FL | scraped 54, +5 leads | maps total: 1416
[22:23:40] plumber | Bay Harbor Islands FL | scraped 57, +6 leads | maps total: 1422
[22:24:16] plumber | Biscayne Park FL | scraped 63, +2 leads | maps total: 1424
[22:40:13] plumber | Boca Raton FL | scraped 72, +0 leads | maps total: 1424
[22:45:26] plumber | Boynton Beach FL | scraped 77, +27 leads | maps total: 1451
[22:48:06] plumber | Coconut Creek FL | scraped 74, +2 leads | maps total: 1453
[22:50:28] plumber | Coconut Grove FL | scraped 63, +0 leads | maps total: 1453
[22:50:54] plumber | Cooper City FL | scraped 65, +8 leads | maps total: 1461
[22:52:12] plumber | Coral Gables FL | scraped 62, +0 leads | maps total: 1461
[22:52:38] plumber | Coral Springs FL | scraped 79, +1 leads | maps total: 1462
[22:53:41] plumber | Coral Terrace FL | scraped 60, +5 leads | maps total: 1467
[22:56:04] plumber | Country Club FL | scraped 63, +2 leads | maps total: 1469
[22:58:22] plumber | Cutler Bay FL | scraped 68, +4 leads | maps total: 1473
[22:59:31] plumber | Dania Beach FL | scraped 65, +1 leads | maps total: 1474
[22:59:54] plumber | Davie FL | scraped 75, +0 leads | maps total: 1474
[23:01:22] plumber | Deerfield Beach FL | scraped 75, +6 leads | maps total: 1480
[23:04:59] plumber | Delray Beach FL | scraped 73, +5 leads | maps total: 1485
[23:09:55] plumber | Doral FL | scraped 65, +0 leads | maps total: 1485
[23:10:19] plumber | El Portal FL | scraped 66, +2 leads | maps total: 1487
[23:25:49] plumber | Florida City FL | scraped 69, +7 leads | maps total: 1494
[23:26:13] plumber | Fontainebleau FL | scraped 65, +1 leads | maps total: 1495
[23:41:22] plumber | Fort Lauderdale FL | scraped 25, +0 leads | maps total: 1495
[23:41:49] plumber | Golden Beach FL | scraped 58, +1 leads | maps total: 1496
[00:00:24] plumber | Greenacres FL | scraped 61, +14 leads | maps total: 1510
[00:00:47] plumber | Hallandale Beach FL | scraped 71, +2 leads | maps total: 1512
[00:13:52] plumber | Hialeah FL | scraped 51, +0 leads | maps total: 1512
[00:14:18] plumber | Hialeah Gardens FL | scraped 46, +5 leads | maps total: 1517
[00:23:36] plumber | Hillsboro Beach FL | scraped 58, +3 leads | maps total: 1520
[00:23:58] plumber | Hollywood FL | scraped 76, +0 leads | maps total: 1520
[00:24:20] plumber | Homestead FL | scraped 71, +0 leads | maps total: 1520
[00:24:53] plumber | Jupiter FL | scraped 68, +14 leads | maps total: 1534
[00:25:15] plumber | Kendall FL | scraped 71, +0 leads | maps total: 1534
[00:25:47] plumber | Lake Park FL | scraped 74, +11 leads | maps total: 1545
[00:26:11] plumber | Lake Worth Beach FL | scraped 72, +2 leads | maps total: 1547
[00:26:21] plumber | Lantana FL | scraped 20, +1 leads | maps total: 1548
[00:26:44] plumber | Lauderdale Lakes FL | scraped 76, +0 leads | maps total: 1548
[00:27:16] plumber | Lauderhill FL | scraped 75, +3 leads | maps total: 1551
[00:27:39] plumber | Lighthouse Point FL | scraped 66, +1 leads | maps total: 1552
[00:28:03] plumber | Margate FL | scraped 66, +7 leads | maps total: 1559
[00:28:27] plumber | Medley FL | scraped 52, +3 leads | maps total: 1562
[00:28:49] plumber | Miami FL | scraped 73, +0 leads | maps total: 1562
[00:29:11] plumber | Miami Beach FL | scraped 63, +0 leads | maps total: 1562
[00:29:31] plumber | Miami Gardens FL | scraped 65, +0 leads | maps total: 1562
[00:29:56] plumber | Miami Lakes FL | scraped 67, +4 leads | maps total: 1566
[00:30:19] plumber | Miami Shores FL | scraped 66, +0 leads | maps total: 1566
[00:30:41] plumber | Miami Springs FL | scraped 64, +1 leads | maps total: 1567
[00:31:03] plumber | Miramar FL | scraped 67, +0 leads | maps total: 1567
[00:31:28] plumber | North Bay Village FL | scraped 59, +1 leads | maps total: 1568
[00:31:51] plumber | North Lauderdale FL | scraped 75, +0 leads | maps total: 1568
[00:32:16] plumber | North Miami FL | scraped 65, +3 leads | maps total: 1571
[00:32:39] plumber | North Miami Beach FL | scraped 64, +1 leads | maps total: 1572
[00:33:04] plumber | Oakland Park FL | scraped 76, +6 leads | maps total: 1578
[00:33:40] plumber | Opa-locka FL | scraped 59, +3 leads | maps total: 1581
[00:34:07] plumber | Palm Beach FL | scraped 71, +8 leads | maps total: 1589
[00:34:30] plumber | Palm Beach Gardens FL | scraped 72, +3 leads | maps total: 1592
[00:35:53] plumber | Palm Springs FL | scraped 65, +7 leads | maps total: 1599
[00:36:21] plumber | Palmetto Bay FL | scraped 65, +4 leads | maps total: 1603
[00:36:47] plumber | Parkland FL | scraped 71, +3 leads | maps total: 1606
[00:37:10] plumber | Pembroke Park FL | scraped 68, +1 leads | maps total: 1607
[00:37:32] plumber | Pembroke Pines FL | scraped 69, +0 leads | maps total: 1607
[00:37:54] plumber | Pinecrest FL | scraped 56, +0 leads | maps total: 1607
[00:38:18] plumber | Plantation FL | scraped 79, +1 leads | maps total: 1608
[00:38:40] plumber | Pompano Beach FL | scraped 75, +1 leads | maps total: 1609
[00:39:16] plumber | Riviera Beach FL | scraped 63, +7 leads | maps total: 1616
[00:39:42] plumber | Royal Palm Beach FL | scraped 58, +9 leads | maps total: 1625
[00:40:08] plumber | Sea Ranch Lakes FL | scraped 60, +5 leads | maps total: 1630
[00:40:30] plumber | South Miami FL | scraped 68, +0 leads | maps total: 1630
[00:40:53] plumber | Southwest Ranches FL | scraped 62, +4 leads | maps total: 1634
[00:41:15] plumber | Sunny Isles Beach FL | scraped 58, +2 leads | maps total: 1636
[00:41:38] plumber | Sunrise FL | scraped 78, +1 leads | maps total: 1637
[00:42:13] plumber | Surfside FL | scraped 57, +5 leads | maps total: 1642
[00:42:55] plumber | Sweetwater FL | scraped 59, +4 leads | maps total: 1646
[00:43:20] plumber | Tamarac FL | scraped 69, +2 leads | maps total: 1648
[00:43:48] plumber | Tamiami FL | scraped 57, +1 leads | maps total: 1649
[00:44:15] plumber | The Hammocks FL | scraped 59, +4 leads | maps total: 1653
[00:44:37] plumber | Virginia Gardens FL | scraped 60, +0 leads | maps total: 1653
[00:45:06] plumber | Wellington FL | scraped 68, +7 leads | maps total: 1660
[00:45:28] plumber | West Miami FL | scraped 66, +1 leads | maps total: 1661
[00:45:51] plumber | West Park FL | scraped 74, +3 leads | maps total: 1664
[00:46:13] plumber | Westchester FL | scraped 60, +0 leads | maps total: 1664
[00:46:36] plumber | Weston FL | scraped 71, +0 leads | maps total: 1664
[00:47:01] plumber | Wilton Manors FL | scraped 70, +4 leads | maps total: 1668
[00:47:33] hvac contractor | Aventura FL | scraped 67, +25 leads | maps total: 1693
[00:47:58] hvac contractor | Bal Harbour FL | scraped 11, +2 leads | maps total: 1695
[00:49:10] hvac contractor | Bay Harbor Islands FL | scraped 50, +5 leads | maps total: 1700
[00:50:15] hvac contractor | Biscayne Park FL | scraped 57, +6 leads | maps total: 1706
[00:50:54] hvac contractor | Boca Raton FL | scraped 65, +29 leads | maps total: 1735
[00:51:29] hvac contractor | Boynton Beach FL | scraped 66, +32 leads | maps total: 1767
[00:52:52] hvac contractor | Coconut Creek FL | scraped 77, +37 leads | maps total: 1804
[00:53:17] hvac contractor | Coconut Grove FL | scraped 59, +6 leads | maps total: 1810
[00:54:46] hvac contractor | Cooper City FL | scraped 60, +27 leads | maps total: 1837
[00:55:15] hvac contractor | Coral Gables FL | scraped 60, +4 leads | maps total: 1841
[00:56:01] hvac contractor | Coral Springs FL | scraped 75, +24 leads | maps total: 1865
[00:56:28] hvac contractor | Coral Terrace FL | scraped 58, +3 leads | maps total: 1868
[00:56:56] hvac contractor | Country Club FL | scraped 60, +6 leads | maps total: 1874
[00:57:34] hvac contractor | Cutler Bay FL | scraped 67, +10 leads | maps total: 1884
[00:58:04] hvac contractor | Dania Beach FL | scraped 67, +19 leads | maps total: 1903
[00:59:16] hvac contractor | Davie FL | scraped 70, +21 leads | maps total: 1924
[00:59:44] hvac contractor | Deerfield Beach FL | scraped 73, +22 leads | maps total: 1946
[01:00:15] hvac contractor | Delray Beach FL | scraped 78, +12 leads | maps total: 1958
[01:00:37] hvac contractor | Doral FL | scraped 67, +1 leads | maps total: 1959
[01:01:01] hvac contractor | El Portal FL | scraped 55, +2 leads | maps total: 1961
[01:01:35] hvac contractor | Florida City FL | scraped 53, +2 leads | maps total: 1963
[01:01:59] hvac contractor | Fontainebleau FL | scraped 56, +3 leads | maps total: 1966
[01:02:35] hvac contractor | Fort Lauderdale FL | scraped 76, +23 leads | maps total: 1989
[01:03:01] hvac contractor | Golden Beach FL | scraped 63, +5 leads | maps total: 1994
[01:04:12] hvac contractor | Greenacres FL | scraped 68, +26 leads | maps total: 2020
[01:05:34] hvac contractor | Hallandale Beach FL | scraped 72, +5 leads | maps total: 2025
[01:05:56] hvac contractor | Hialeah FL | scraped 68, +0 leads | maps total: 2025
[01:06:43] hvac contractor | Hialeah Gardens FL | scraped 59, +7 leads | maps total: 2032
[01:07:10] hvac contractor | Hillsboro Beach FL | scraped 61, +2 leads | maps total: 2034
[01:08:22] hvac contractor | Hollywood FL | scraped 73, +11 leads | maps total: 2045
[01:08:44] hvac contractor | Homestead FL | scraped 56, +0 leads | maps total: 2045
[01:10:08] hvac contractor | Jupiter FL | scraped 71, +33 leads | maps total: 2078
[01:10:33] hvac contractor | Kendall FL | scraped 65, +0 leads | maps total: 2078
[01:10:41] hvac contractor | Key Biscayne FL | scraped 12, +0 leads | maps total: 2078
[01:11:07] hvac contractor | Lake Park FL | scraped 68, +9 leads | maps total: 2087
[01:11:37] hvac contractor | Lake Worth Beach FL | scraped 62, +15 leads | maps total: 2102
[01:12:00] hvac contractor | Lantana FL | scraped 64, +2 leads | maps total: 2104
[01:13:24] hvac contractor | Lauderdale Lakes FL | scraped 72, +9 leads | maps total: 2113
[01:13:51] hvac contractor | Lauderhill FL | scraped 69, +11 leads | maps total: 2124
[01:14:26] hvac contractor | Lighthouse Point FL | scraped 71, +9 leads | maps total: 2133
[01:14:52] hvac contractor | Margate FL | scraped 77, +6 leads | maps total: 2139
[01:15:19] hvac contractor | Medley FL | scraped 62, +6 leads | maps total: 2145
[01:15:41] hvac contractor | Miami FL | scraped 66, +1 leads | maps total: 2146
[01:16:06] hvac contractor | Miami Beach FL | scraped 62, +4 leads | maps total: 2150
[01:16:28] hvac contractor | Miami Gardens FL | scraped 66, +1 leads | maps total: 2151
[01:16:52] hvac contractor | Miami Lakes FL | scraped 72, +2 leads | maps total: 2153
[01:17:15] hvac contractor | Miami Shores FL | scraped 63, +2 leads | maps total: 2155
[01:17:38] hvac contractor | Miami Springs FL | scraped 67, +1 leads | maps total: 2156
[01:18:12] hvac contractor | Miramar FL | scraped 60, +10 leads | maps total: 2166
[01:18:34] hvac contractor | North Bay Village FL | scraped 58, +0 leads | maps total: 2166
[01:19:21] hvac contractor | North Lauderdale FL | scraped 77, +3 leads | maps total: 2169
[01:19:44] hvac contractor | North Miami FL | scraped 68, +11 leads | maps total: 2180
[01:20:10] hvac contractor | North Miami Beach FL | scraped 63, +1 leads | maps total: 2181
[01:20:42] hvac contractor | Oakland Park FL | scraped 68, +5 leads | maps total: 2186
[01:21:07] hvac contractor | Opa-locka FL | scraped 63, +4 leads | maps total: 2190
[01:21:35] hvac contractor | Palm Beach FL | scraped 73, +19 leads | maps total: 2209
[01:21:59] hvac contractor | Palm Beach Gardens FL | scraped 80, +5 leads | maps total: 2214
[01:22:40] hvac contractor | Palm Springs FL | scraped 64, +8 leads | maps total: 2222
[01:24:16] hvac contractor | Palmetto Bay FL | scraped 60, +6 leads | maps total: 2228
[01:24:40] hvac contractor | Parkland FL | scraped 64, +3 leads | maps total: 2231
[01:25:14] hvac contractor | Pembroke Park FL | scraped 67, +3 leads | maps total: 2234
[01:25:40] hvac contractor | Pembroke Pines FL | scraped 64, +5 leads | maps total: 2239
[01:26:05] hvac contractor | Pinecrest FL | scraped 51, +3 leads | maps total: 2242
[01:26:34] hvac contractor | Plantation FL | scraped 69, +9 leads | maps total: 2251
[01:27:09] hvac contractor | Pompano Beach FL | scraped 77, +6 leads | maps total: 2257
[01:27:37] hvac contractor | Riviera Beach FL | scraped 71, +8 leads | maps total: 2265
[01:28:05] hvac contractor | Royal Palm Beach FL | scraped 68, +12 leads | maps total: 2277
[01:28:37] hvac contractor | Sea Ranch Lakes FL | scraped 61, +12 leads | maps total: 2289
[01:29:00] hvac contractor | South Miami FL | scraped 68, +4 leads | maps total: 2293
[01:29:27] hvac contractor | Southwest Ranches FL | scraped 61, +6 leads | maps total: 2299
[01:29:50] hvac contractor | Sunny Isles Beach FL | scraped 58, +2 leads | maps total: 2301
[01:30:18] hvac contractor | Sunrise FL | scraped 76, +9 leads | maps total: 2310
[01:31:29] hvac contractor | Surfside FL | scraped 60, +2 leads | maps total: 2312
[01:33:17] hvac contractor | Sweetwater FL | scraped 62, +5 leads | maps total: 2317
[01:35:19] hvac contractor | Tamarac FL | scraped 73, +3 leads | maps total: 2320
[01:36:30] hvac contractor | Tamiami FL | scraped 64, +3 leads | maps total: 2323
[01:37:41] hvac contractor | The Hammocks FL | scraped 65, +8 leads | maps total: 2331
[01:38:04] hvac contractor | Virginia Gardens FL | scraped 59, +1 leads | maps total: 2332
[01:38:36] hvac contractor | Wellington FL | scraped 72, +6 leads | maps total: 2338
